Year;Month;Day;Hour;Minute;Temperature 2018  [2 m above gnd];Relative Humidity 2018  [2 m above gnd];Mean Sea Level Pressure 2018  [MSL];Total Precipitation 2018  [sfc];Snowfall amount raw 2018  [sfc];Total Cloud Cover 2018  [sfc];High Cloud Cover 2018  [high cld lay];Medium Cloud Cover 2018  [mid cld lay];Low Cloud Cover 2018  [low cld lay];Sunshine Duration 2018  [sfc];Shortwave Radiation 2018  [sfc];Wind Speed 2018  [10 m above gnd];Wind Speed 2018  [80 m above gnd];Wind Speed 2018  [900 mb];Wind Gust 2018  [sfc];Temperature 2017  [2 m above gnd];Relative Humidity 2017  [2 m above gnd];Mean Sea Level Pressure 2017  [MSL];Total Precipitation 2017  [sfc];Snowfall amount raw 2017  [sfc];Total Cloud Cover 2017  [sfc];High Cloud Cover 2017  [high cld lay];Medium Cloud Cover 2017  [mid cld lay];Low Cloud Cover 2017  [low cld lay];Sunshine Duration 2017  [sfc];Shortwave Radiation 2017  [sfc];Wind Speed 2017  [10 m above gnd];Wind Speed 2017  [80 m above gnd];Wind Speed 2017  [900 mb];Wind Gust 2017  [sfc];Temperature 2016  [2 m above gnd];Relative Humidity 2016  [2 m above gnd];Mean Sea Level Pressure 2016  [MSL];Total Precipitation 2016  [sfc];Snowfall amount raw 2016  [sfc];Total Cloud Cover 2016  [sfc];High Cloud Cover 2016  [high cld lay];Medium Cloud Cover 2016  [mid cld lay];Low Cloud Cover 2016  [low cld lay];Sunshine Duration 2016  [sfc];Shortwave Radiation 2016  [sfc];Wind Speed 2016  [10 m above gnd];Wind Speed 2016  [80 m above gnd];Wind Speed 2016  [900 mb];Wind Gust 2016  [sfc]
2018;01;05;11;00;12.14;66.00;1003.60;0.10;0.00;100.00;23.00;64.00;100.00;0.00;207.37;20.95;24.97;54.82;32.04;0.14;74.00;1033.10;0.00;0.00;11.00;0.00;0.00;11.00;52.98;253.65;12.24;11.75;29.08;19.08;7.61;71.00;996.80;0.20;0.00;100.00;0.00;100.00;100.00;0.00;214.49;22.55;28.36;48.18;30.24
2018;01;05;12;00;13.06;63.00;1002.30;0.00;0.00;100.00;100.00;100.00;100.00;0.00;252.76;20.47;24.82;41.05;28.80;0.48;68.00;1033.40;0.00;0.00;50.00;0.00;0.00;50.00;28.09;307.94;11.59;11.30;23.94;16.92;8.66;67.00;995.90;0.00;0.00;100.00;0.00;21.00;100.00;0.00;224.28;24.40;30.40;48.50;33.12
2018;01;05;13;00;14.54;65.00;1002.40;0.50;0.00;100.00;24.00;14.00;100.00;0.00;187.79;20.09;25.86;42.24;34.56;0.53;83.00;1029.00;0.30;0.00;100.00;0.00;0.00;100.00;0.00;202.92;23.73;23.98;39.15;29.16;8.61;69.00;997.70;0.10;0.00;51.00;0.00;51.00;49.00;27.45;210.04;24.01;30.57;43.93;33.84
2018;01;05;14;00;13.71;67.00;1002.50;0.00;0.00;100.00;11.00;9.00;100.00;0.00;137.06;21.82;28.08;49.30;38.88;1.27;67.00;1029.60;0.00;0.00;49.00;0.00;0.00;49.00;28.72;315.06;25.72;26.48;39.19;34.20;8.75;67.00;997.60;0.20;0.00;51.00;0.00;51.00;51.00;27.45;240.30;22.61;28.99;40.90;33.48
2018;01;05;15;00;13.33;69.00;1002.40;0.10;0.00;100.00;9.00;8.00;100.00;0.00;81.88;21.27;28.16;55.12;37.08;0.63;75.00;1030.30;0.00;0.00;19.00;0.00;0.00;19.00;47.87;243.86;26.58;27.70;33.67;28.80;8.70;65.00;997.50;0.20;0.00;14.00;0.00;14.00;0.00;51.06;210.93;22.01;27.60;41.44;33.12
2018;01;05;16;00;14.01;64.00;1002.60;0.00;0.00;100.00;0.00;90.00;100.00;0.00;95.23;20.57;28.28;51.22;43.56;0.50;68.00;1031.70;0.00;0.00;10.00;0.00;0.00;10.00;53.62;133.50;16.58;19.45;28.14;29.52;8.21;65.00;998.10;0.00;0.00;0.00;0.00;0.00;0.00;60.00;155.75;18.21;25.50;42.48;29.16
2018;01;05;17;00;13.02;70.00;1002.70;0.00;0.00;100.00;0.00;100.00;98.00;0.00;23.14;16.12;23.28;50.07;40.32;0.29;74.00;1032.70;0.00;0.00;43.00;0.00;0.00;43.00;26.29;40.05;11.30;16.45;34.32;35.64;6.81;70.00;998.10;0.00;0.00;31.00;0.00;31.00;0.00;32.48;37.38;13.89;23.19;45.34;26.64
2018;01;05;18;00;11.86;75.00;1002.40;0.00;0.00;100.00;7.00;100.00;100.00;0.00;0.00;15.58;22.32;56.52;34.20;-0.90;80.00;1033.90;0.00;0.00;42.00;0.00;0.00;42.00;0.00;0.00;14.39;22.47;28.90;21.96;5.72;74.00;998.80;0.00;0.00;65.00;0.00;65.00;39.00;0.00;0.00;12.26;21.17;50.81;24.84
2018;01;05;19;00;11.93;73.00;1002.80;0.00;0.00;100.00;9.00;100.00;100.00;0.00;0.00;11.30;17.07;56.72;28.44;-3.09;73.00;1034.70;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;13.85;17.10;23.02;17.64;6.71;69.00;998.90;0.00;0.00;100.00;0.00;88.00;100.00;0.00;0.00;14.19;24.46;60.08;25.92
2018;01;05;20;00;11.31;80.00;1003.40;0.20;0.00;100.00;20.00;100.00;100.00;0.00;0.00;11.25;18.06;45.37;24.84;-4.44;74.00;1036.40;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;11.90;17.17;17.37;16.92;6.62;71.00;998.80;0.00;0.00;100.00;0.00;100.00;100.00;0.00;0.00;14.00;22.41;55.89;25.56
2018;01;05;21;00;10.10;97.00;1004.30;0.40;0.00;100.00;49.00;100.00;100.00;0.00;0.00;7.70;13.32;26.93;14.40;-3.26;80.00;1037.10;0.00;0.00;4.00;0.00;0.00;4.00;0.00;0.00;6.29;11.88;14.02;15.12;6.17;75.00;998.90;0.00;0.00;100.00;0.00;100.00;90.00;0.00;0.00;13.18;19.96;53.18;24.48
2018;01;05;22;00;9.84;97.00;1005.40;0.80;0.00;100.00;24.00;100.00;100.00;0.00;0.00;3.96;6.92;31.81;13.68;-2.56;79.00;1038.20;0.00;0.00;30.00;0.00;0.00;30.00;0.00;0.00;3.22;5.01;11.59;10.80;5.88;76.00;999.60;0.00;0.00;90.00;0.00;77.00;90.00;0.00;0.00;13.09;20.17;50.88;23.40
